variable,categoria,n,pct_sobre_validos
Tipos.de.defectos,onfalocele,1,4.8
Tipos.de.defectos,otras anomalìas cromosòmicas,1,4.8
Tipos.de.defectos,otras anomalias tegumantarias,1,4.8
Tipos.de.defectos,sindactilia,1,4.8
Tipos.de.defectos,tetralogia de Fallot,1,4.8
Tipos.de.defectos,TRISOMIA 21,1,4.8
SISTEMA.AFECTADO,Sistema nervioso,7,35
SISTEMA.AFECTADO,CARDIOPULMONARES,3,15
SISTEMA.AFECTADO,Labio y paladar hendido,3,15
SISTEMA.AFECTADO,ANOMALIAS CROMOSOMICAS,2,10
SISTEMA.AFECTADO,MUSCULO-ESQUELETICAS,2,10
SISTEMA.AFECTADO,UROGENITAL,2,10
SISTEMA.AFECTADO,GASTROINTESTINAL,1,5
Egreso.RN,vivo,250,98
Egreso.RN,traslado,3,1.2
Egreso.RN,fallece,2,0.8
RN.vivo.CODIGO,1,249,98
RN.vivo.CODIGO,traslado,3,1.2
RN.vivo.CODIGO,0,2,0.8
MAMA.HIV,0,250,98
MAMA.HIV,1,5,2
BEBE.sifilis.congenita,1,255,100
BEBE.SEPSIS,0,244,95.7
BEBE.SEPSIS,1,11,4.3
BEBE.Hipoglicemia,0,250,98
BEBE.Hipoglicemia,1,5,2
BEBE.POLICITEMIA,0,247,96.9
BEBE.POLICITEMIA,1,8,3.1
BEBE.Ictericia,0,205,80.4
BEBE.Ictericia,1,50,19.6
BEBE.Dificultad.respiratoria,0,243,95.3
BEBE.Dificultad.respiratoria,1,12,4.7
BEBE.Trastorno.alimenticio,0,245,96.1
BEBE.Trastorno.alimenticio,1,10,3.9
TRASTORNOS.HIPERTENSIVOS.CATEGORIA,NINGUNO,225,88.9
TRASTORNOS.HIPERTENSIVOS.CATEGORIA,PREECLAMPSIA,24,9.5
TRASTORNOS.HIPERTENSIVOS.CATEGORIA,HTA inducida,4,1.6
LACTANCIA_EXCLUSIVA_SI_NO,1,208,81.6
LACTANCIA_EXCLUSIVA_SI_NO,0,47,18.4
